Relocatable heap version 4 found at 0x2f000000
total space allocated is 236M, with 234M relocatable, 2.3M legacy and 0 offline
1 legacy blocks of size 2359296

free list at 0x3d97d260
183M free memory in 6 free block(s)
largest free block is 183M bytes

0x2f000000: legacy block 2.3M
0x2f240000: free 183M
[ 265] 0x3bdc3a20: used 1.3M (refcount 2 lock count 8, size  1308832, align 4096, data 0x3bdc4000, d1ruaL) 'video_decodeRIL:image pool'
[ 264] 0x3bf042e0: used 1.3M (refcount 1 lock count 1, size  1308832, align 4096, data 0x3bf05000, d1ruaL) 'video_decodeRIL:image pool'
[ 263] 0x3c044ba0: used 1.3M (refcount 1 lock count 0, size  1308832, align 4096, data 0x3c045000, d1ruaL) 'video_decodeRIL:image pool'
[ 262] 0x3c185460: used 1.3M (refcount 1 lock count 0, size  1308832, align 4096, data 0x3c186000, d1ruaL) 'video_decodeRIL:image pool'
[ 261] 0x3c2c5d20: used 1.3M (refcount 2 lock count 8, size  1308832, align 4096, data 0x3c2c6000, d1ruaL) 'video_decodeRIL:image pool'
[ 260] 0x3c4065e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c406600, d1ruAl) 'RIL buffer'
[ 259] 0x3c41a620: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c41a640, d1ruAl) 'RIL buffer'
[ 258] 0x3c42e660: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c42e680, d1ruAl) 'RIL buffer'
[ 257] 0x3c4426a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c4426c0, d1ruAl) 'RIL buffer'
[ 256] 0x3c4566e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c456700, d1ruAl) 'RIL buffer'
[ 255] 0x3c46a720: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c46a740, d1ruAl) 'RIL buffer'
[ 254] 0x3c47e760: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c47e780, d1ruAl) 'RIL buffer'
[ 253] 0x3c4927a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c4927c0, d1ruAl) 'RIL buffer'
[ 252] 0x3c4a67e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c4a6800, d1ruAl) 'RIL buffer'
[ 251] 0x3c4ba820: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c4ba840, d1ruAl) 'RIL buffer'
[ 250] 0x3c4ce860: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c4ce880, d1ruAl) 'RIL buffer'
[ 249] 0x3c4e28a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c4e28c0, d1ruAl) 'RIL buffer'
[ 248] 0x3c4f68e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c4f6900, d1ruAl) 'RIL buffer'
[ 323] 0x3c50a920: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c50a940, d1ruAl) 'RIL buffer'
[ 322] 0x3c51e960: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c51e980, d1ruAl) 'RIL buffer'
[ 117] 0x3c5329a0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c5329c0, d1ruAl) 'RIL buffer'
[ 111] 0x3c5469e0: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c546a00, d1ruAl) 'RIL buffer'
[ 113] 0x3c55aa20: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c55aa40, d1ruAl) 'RIL buffer'
[  25] 0x3c56ea60: used  80K (refcount 1 lock count 0, size    81920, align   32, data 0x3c56ea80, d1ruAl) 'RIL buffer'
